Tony Stark,Steve Rogers
Steve Rogers,JARVIS
Steve Rogers,Tony Stark
Strucker,List
Pietro Maximoff,Clint Barton
Pietro Maximoff,Steve Rogers
Natasha Romanoff,Clint Barton
Thor,Steve Rogers
Tony Stark,JARVIS
Natasha Romanoff,Hulk
Steve Rogers,Strucker
Wanda Maximoff,Steve Rogers
Tony Stark,Steve Rogers
Pietro Maximoff,Wanda Maximoff
Natasha Romanoff,Bruce Banner
Thor,Hulk
Tony Stark,JARVIS
Tony Stark,Thor
Steve Rogers,Tony Stark
Thor,Tony Stark
Tony Stark,Steve Rogers
Maria Hill,Tony Stark
Steve Rogers,Maria Hill
Bruce Banner,Tony Stark
Natasha Romanoff,Dr. Helen Cho
Tony Stark,Dr. Helen Cho
Tony Stark,Bruce Banner
Ultron,JARVIS
James Rhodes,Stark,Thor
James Rhodes,Thor
James Rhodes,Maria Hill
Tony Stark,Maria Hill
Thor,Maria Hill
Sam Wilson,Steve Rogers
Steve Rogers,Thor,Stan Lee
Bruce Banner,Natasha Romanoff
Steve Rogers,Bruce Banner
Clint Barton,Thor
Tony Stark,James Rhodes
Steve Rogers,James Rhodes
Tony Stark,James Rhodes
Steve Rogers,Thor
Natasha Romanoff,Tony Stark
Clint Barton,Maria Hill
Steve Rogers,Tony Stark
Ultron,Steve Rogers,Tony Stark
Ultron,Tony Stark
Ultron,Steve Rogers
Ultron,Thor
Ultron,Bruce Banner
Ultron,Natasha Romanoff
Maria Hill,Rhodey
Bruce Banner,Natasha Romanoff
Steve Rogers,Tony Stark
Steve Rogers,Thor
Clint Barton,Cap
Thor,Tony Stark
Tony Stark,Bruce Banner
Steve Rogers,Tony Stark
Ultron,Wanda Maximoff
Ultron,Pietro Maximoff
Natasha Romanoff,Madame B
Madame B,Natasha Romanoff
Pietro Maximoff,Wanda Maximoff
Ultron,Tony Stark
Tony Stark,Hulk
Clint Barton,Natasha Romanoff
Thor,Steve Rogers
Laura Barton,Clint Barton
Ultron,Dr. Helen Cho
Natasha Romanoff,Bruce Banner
Natasha Romanoff,Bruce Banner
Tony Stark,Steve Rogers
Tony Stark,Nick Fury
Nick Fury,Natasha Romanoff,Steve Rogers,Tony Stark,Bruce Banner,Clint Barton
Bruce Banner,Nick Fury
Tony Stark,Heimdall
Thor,Heimdall
Dr. Helen Cho,Wanda Maximoff
Ultron,Wanda Maximoff
Ultron,Pietro Maximoff
Ultron,Dr. Helen Cho
Steve Rogers,Dr. Helen Cho
Clint Barton,Natasha Romanoff
Steve Rogers,Ultron
Natasha Romanoff,Clint Barton
Pietro Maximoff,Wanda Maximoff
Steve Rogers,Wanda Maximoff
Bruce Banner,Tony Stark
Clint Barton,Bruce Banner
Bruce Banner,Tony Stark
Tony Stark,JARVIS
Tony Stark,Bruce Banner
Bruce Banner,Tony Stark
Ultron,Natasha Romanoff
Tony Stark,Bruce Banner
Steve Rogers,Tony Stark
Bruce Banner,Wanda Maximoff
Pietro Maximoff,Clint Barton
Vision,Thor
Vision,Steve Rogers
Clint Barton,Wanda Maximoff
Tony Stark,FRIDAY
Bruce Banner,Natasha Romanoff
Tony Stark,Ultron
Ultron,FRIDAY
Ultron,Vision
Tony Stark,FRIDAY
Clint Barton,Wanda Maximoff
Steve Rogers,Ultron
Thor,Ultron
Tony Stark,FRIDAY
Natasha Romanoff,Tony Stark
Tony Stark,Thor
Ultron,Thor
Steve Rogers,Ultron
Tony Stark,Ultron
Steve Rogers,Barton,Natasha
Barton,Wanda
Wanda,Pietro
Stark,FRIDAY
Barton,Natasha
Natasha,Hulk
Ultron,Barton,Pietro
Wanda,Ultron
Vision,Ultron
Natasha,Nick Fury
Steve Rogers,Tony Stark
Thor,Tony Stark
Steve Rogers,Tony Stark
Steve Rogers,Natasha
Steve Rogers,Natasha Romanoff
Steve Rogers,Rhodes
Steve Rogers,Vision
Steve Rogers,Sam
Steve Rogers,Wanda
