Darcy Lewis,Jane Foster,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Darcy Lewis,Jane Foster,Erik Selvig,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Thor,,,,,,,,
Darcy Lewis,Jane Foster,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Odin,Frigga,,,,,,,,
Odin,Frigga,,,,,,,,
Odin,Frigga,,,,,,,,
Thor,Loki,,,,,,,,
Thor,Loki,,,,,,,,
Loki,Thor,,,,,,,,
Loki,Thor,,,,,,,,
Loki,Thor,Volstagg,Fandral,Hogun,Sif,,,,
Volstagg,Fandral,Hogun,Sif,,,,,,
Volstagg,Loki,,,,,,,,
Sif,Fandral,,,,,,,,
Odin,Gungir,,,,,,,,
Thor,Odin,,,,,,,,
Sif,Loki,Thor,,,,,,,
Sif,Volstagg,Odin,Fandral,,,,,,
Thor,Odin,,,,,,,,
Thor,Loki,,,,,,,,
Thor,Sif,,,,,,,,
Thor,Fandral,,,,,,,,
Thor,Hogun,,,,,,,,
Thor,Volstagg,,,,,,,,
Hogun,Loki,,,,,,,,
Thor,Heimdall,,,,,,,,
Loki,Heimdall,,,,,,,,
Fandral,Heimdall,,,,,,,,
Thor,Loki,,,,,,,,
Thor,Loki,,,,,,,,
Hogun,Volstagg,,,,,,,,
Volstagg,Fandral,,,,,,,,
Thor,Sif,,,,,,,,
Volstagg,Loki,,,,,,,,
Thor,Loki,,,,,,,,
Odin,Laufey,,,,,,,,
Odin,Laufey,,,,,,,,
Odin,Thor,,,,,,,,
Odin,Fandral,Sif,Volstagg,Hogun,,,,,
Thor,Fandral,Sif,Volstagg,Hogun,,,,,
Odin,Thor,Loki,,,,,,,
Erik Selvig,Jane Foster,,,,,,,,
Erik Selvig,Thor,,,,,,,,
Darcy Lewis,Thor,,,,,,,,
Erik Selvig,Jane Foster,,,,,,,,
Erik Selvig,Jane Foster,Darcy Lewis,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Darcy Lewis,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Darcy Lewis,Erik Selvig,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Erik Selvig,Darcy Lewis,,,,,,,
Fandral,Sif,,,,,,,,
Loki,Odin,,,,,,,,
Loki,Sif,,,,,,,,
Odin,Loki,,,,,,,,
Odin,Loki,,,,,,,,
Thor,Jane Foster,Darcy Lewis,,,,,,,
Thor,Jane Foster,,,,,,,,
Frigga,Loki,,,,,,,,
Loki,Frigga,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Thor,Darcy Lewis,Isabela Alvarez,,,,,,,
Darcy Lewis,Thor,,,,,,,,
Jane Foster,Thor,,,,,,,,
Erik Selvig,Jane Foster,,,,,,,,
Jane Foster,Erik Selvig,Darcy Lewis,Thor,Sif,Loki,Fandral,Volstagg,Odin,Phil Coulson
Phil Coulson,Erik Selvig,,,,,,,,
Jane Foster,Phil Coulson,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Thor,,,,,,,,
Thor,Jasper Sitwell,,,,,,,,
Thor,Delancey,,,,,,,,
Thor,Jackson,,,,,,,,
Thor,DeLancey,,,,,,,,
Hawkeye,Thor,,,,,,,,
Phil Coulson,Hawkeye,,,,,,,,
Thor,Phil Coulson,,,,,,,,
Jane Foster,Erik Selvig,,,,,,,,
Jane Foster,Darcy Lewis,,,,,,,,
Thor,Loki,,,,,,,,
Thor,Loki,,,,,,,,
Loki,Thor,,,,,,,,
Phil Coulson,Loki,,,,,,,,
Thor,Phil Coulson,,,,,,,,
Jasper Sitwell,Phil Coulson,,,,,,,,
Phil Coulson,Erik Selvig,,,,,,,,
Loki,Laufey,,,,,,,,
Loki,Heimdall,,,,,,,,
Loki,The Destroyer,,,,,,,,
Thor,Erik Selvig,,,,,,,,
Thor,Erik Selvig,,,,,,,,
Erik Selvig,Thor,,,,,,,,
Jane Foster,Thor,,,,,,,,
Thor,Jane Foster,,,,,,,,
Thor,Erik Selvig,,,,,,,,
Darcy Lewis,Erik Selvig,,,,,,,,
Thor,Jane Foster,Darcy Lewis,Erik Selvig,,,,,,
Thor,Isabela Alvarez,,,,,,,,
Sif,Heimdall,,,,,,,,
Loki,Heimdall,,,,,,,,
Thor,Sif,,,,,,,,
Thor,Jane Foster,Erik Selvig,Darcy Lewis,,,,,,
Hogun,Fandral,Volstagg,,,,,,,
Thor,Jane Foster,Erik Selvig,Sif,Volstagg,Hogun,Fandral,The Destroyer,,
Thor,The Destroyer,,,,,,,,
Jane Foster,Thor,,,,,,,,
Thor,Phil Coulson,,,,,,,,
Darcy Lewis,Volstagg,,,,,,,,
Thor,Heimdall,,,,,,,,
Thor,Phil Coulson,,,,,,,,
Thor,Jane Foster,,,,,,,,
Loki,Laufey,,,,,,,,
Loki,Frigga,,,,,,,,
Thor,Frigga,,,,,,,,
Thor,Loki,,,,,,,,
Thor,Frigga,,,,,,,,
Thor,Loki,,,,,,,,
Loki,Thor,,,,,,,,
Thor,Loki,,,,,,,,
Loki,Thor,,,,,,,,
Thor,Odin,,,,,,,,
Fandral,Volstagg,,,,,,,,
Hogun,Fandral,,,,,,,,
Sif,Frigga,,,,,,,,
Thor,Odin,,,,,,,,
Thor,Heimdall,,,,,,,,
Jane Foster,Darcy Lewis,,,,,,,,
Darcy Lewis,Jane Foster,,,,,,,,
