Source,Target,Type,Id,Label,Weight
0,1,Undirected,0,,1
0,2,Undirected,1,,1
0,3,Undirected,2,,1
0,10,Undirected,3,,1
0,11,Undirected,4,,1
0,4,Undirected,5,,1
0,8,Undirected,6,,1
0,22,Undirected,7,,1
0,6,Undirected,8,,1
0,26,Undirected,9,,1
0,25,Undirected,10,,1
0,20,Undirected,11,,1
1,3,Undirected,12,,1
1,11,Undirected,13,,1
2,132,Undirected,14,,1
2,20,Undirected,15,,1
2,136,Undirected,16,,1
2,131,Undirected,17,,1
2,133,Undirected,18,,1
2,3,Undirected,19,,1
2,21,Undirected,20,,1
3,30,Undirected,21,,1
3,20,Undirected,22,,1
3,131,Undirected,23,,1
4,5,Undirected,24,,1
4,6,Undirected,25,,1
4,7,Undirected,26,,1
4,8,Undirected,27,,1
4,9,Undirected,28,,1
4,13,Undirected,29,,1
4,14,Undirected,30,,1
4,15,Undirected,31,,1
4,10,Undirected,32,,1
4,16,Undirected,33,,1
4,17,Undirected,34,,1
4,11,Undirected,35,,1
4,23,Undirected,36,,1
4,26,Undirected,37,,1
4,25,Undirected,38,,1
4,24,Undirected,39,,1
4,22,Undirected,40,,1
4,20,Undirected,41,,1
4,36,Undirected,42,,1
4,30,Undirected,43,,1
4,38,Undirected,44,,1
4,55,Undirected,45,,1
4,43,Undirected,46,,1
4,53,Undirected,47,,1
4,37,Undirected,48,,1
4,34,Undirected,49,,1
4,72,Undirected,50,,1
4,69,Undirected,51,,1
6,8,Undirected,52,,1
6,9,Undirected,53,,1
6,10,Undirected,54,,1
6,14,Undirected,55,,1
6,18,Undirected,56,,1
6,24,Undirected,57,,1
6,27,Undirected,58,,1
6,28,Undirected,59,,1
6,29,Undirected,60,,1
6,19,Undirected,61,,1
8,9,Undirected,62,,1
8,14,Undirected,63,,1
8,96,Undirected,64,,1
9,14,Undirected,65,,1
10,11,Undirected,66,,1
10,22,Undirected,67,,1
10,24,Undirected,68,,1
10,25,Undirected,69,,1
10,26,Undirected,70,,1
10,13,Undirected,71,,1
11,12,Undirected,72,,1
11,13,Undirected,73,,1
13,14,Undirected,74,,1
13,15,Undirected,75,,1
13,23,Undirected,76,,1
14,15,Undirected,77,,1
17,20,Undirected,78,,1
17,21,Undirected,79,,1
17,78,Undirected,80,,1
17,43,Undirected,81,,1
17,57,Undirected,82,,1
17,39,Undirected,83,,1
17,48,Undirected,84,,1
17,127,Undirected,85,,1
17,72,Undirected,86,,1
17,100,Undirected,87,,1
17,69,Undirected,88,,1
17,30,Undirected,89,,1
17,36,Undirected,90,,1
17,63,Undirected,91,,1
17,40,Undirected,92,,1
17,64,Undirected,93,,1
17,46,Undirected,94,,1
18,19,Undirected,95,,1
19,37,Undirected,96,,1
19,20,Undirected,97,,1
19,56,Undirected,98,,1
19,30,Undirected,99,,1
19,302,Undirected,100,,1
19,43,Undirected,101,,1
19,351,Undirected,102,,1
19,69,Undirected,103,,1
19,72,Undirected,104,,1
20,21,Undirected,105,,1
20,30,Undirected,106,,1
20,31,Undirected,107,,1
20,35,Undirected,108,,1
20,37,Undirected,109,,1
20,33,Undirected,110,,1
20,39,Undirected,111,,1
20,40,Undirected,112,,1
20,38,Undirected,113,,1
20,43,Undirected,114,,1
20,42,Undirected,115,,1
20,34,Undirected,116,,1
20,36,Undirected,117,,1
20,46,Undirected,118,,1
20,41,Undirected,119,,1
20,48,Undirected,120,,1
20,56,Undirected,121,,1
20,63,Undirected,122,,1
20,64,Undirected,123,,1
20,62,Undirected,124,,1
20,69,Undirected,125,,1
20,78,Undirected,126,,1
20,72,Undirected,127,,1
20,55,Undirected,128,,1
20,120,Undirected,129,,1
20,127,Undirected,130,,1
20,100,Undirected,131,,1
20,126,Undirected,132,,1
20,129,Undirected,133,,1
20,131,Undirected,134,,1
20,132,Undirected,135,,1
20,133,Undirected,136,,1
20,136,Undirected,137,,1
20,140,Undirected,138,,1
20,134,Undirected,139,,1
20,85,Undirected,140,,1
20,139,Undirected,141,,1
20,141,Undirected,142,,1
20,142,Undirected,143,,1
20,143,Undirected,144,,1
20,144,Undirected,145,,1
20,146,Undirected,146,,1
20,65,Undirected,147,,1
20,151,Undirected,148,,1
20,152,Undirected,149,,1
20,164,Undirected,150,,1
20,77,Undirected,151,,1
21,57,Undirected,152,,1
21,36,Undirected,153,,1
21,86,Undirected,154,,1
21,125,Undirected,155,,1
21,72,Undirected,156,,1
21,126,Undirected,157,,1
21,69,Undirected,158,,1
21,30,Undirected,159,,1
21,130,Undirected,160,,1
21,65,Undirected,161,,1
21,63,Undirected,162,,1
22,25,Undirected,163,,1
24,27,Undirected,164,,1
25,26,Undirected,165,,1
30,31,Undirected,166,,1
30,37,Undirected,167,,1
30,40,Undirected,168,,1
30,38,Undirected,169,,1
30,41,Undirected,170,,1
30,43,Undirected,171,,1
30,36,Undirected,172,,1
30,42,Undirected,173,,1
30,46,Undirected,174,,1
30,34,Undirected,175,,1
30,47,Undirected,176,,1
30,49,Undirected,177,,1
30,53,Undirected,178,,1
30,54,Undirected,179,,1
30,58,Undirected,180,,1
30,65,Undirected,181,,1
30,62,Undirected,182,,1
30,69,Undirected,183,,1
30,71,Undirected,184,,1
